item,geo,itemLabel,Capitale,CapitaleLabel
http://www.wikidata.org/entity/Q164819,Point(28.666389 46.316389),Gagaúzia,http://www.wikidata.org/entity/Q241122,Comrat
http://www.wikidata.org/entity/Q244165,Point(46.716666666 39.866666666),Artsaque,http://www.wikidata.org/entity/Q129352,Stepanakert
http://www.wikidata.org/entity/Q756617,Point(-6.844444444 61.97),Reino da Dinamarca,http://www.wikidata.org/entity/Q1748,Copenhaga
http://www.wikidata.org/entity/Q756617,Point(-40.0 72.0),Reino da Dinamarca,http://www.wikidata.org/entity/Q1748,Copenhaga
http://www.wikidata.org/entity/Q756617,Point(10.0 56.0),Reino da Dinamarca,http://www.wikidata.org/entity/Q1748,Copenhaga
http://www.wikidata.org/entity/Q907112,Point(29.624444444 46.842222222),Transnístria,http://www.wikidata.org/entity/Q132572,Tiraspol
http://www.wikidata.org/entity/Q913346,Point(-118.660833333 34.1675),Hidden Hills,http://www.wikidata.org/entity/Q913346,Hidden Hills
http://www.wikidata.org/entity/Q14541499,Point(-3.68741 36.745458),Acueducto romano,http://www.wikidata.org/entity/Q14541499,Acueducto romano
http://www.wikidata.org/entity/Q14541499,Point(-3.690090582 36.761286221),Acueducto romano,http://www.wikidata.org/entity/Q14541499,Acueducto romano
http://www.wikidata.org/entity/Q79266736,Point(19.5490977 43.0872087),Q79266736,http://www.wikidata.org/entity/Q79266736,Q79266736
http://www.wikidata.org/entity/Q90973611,Point(127.056663 38.01067),Hantangang Sports Park,http://www.wikidata.org/entity/Q90973611,Hantangang Sports Park
http://www.wikidata.org/entity/Q94999022,Point(10.81043385 47.11309357),Q94999022,http://www.wikidata.org/entity/Q94999022,Q94999022
http://www.wikidata.org/entity/Q101090284,Point(27.3493 56.2064),Asariņs,http://www.wikidata.org/entity/Q101090284,Asariņs
http://www.wikidata.org/entity/Q104109507,Point(127.520627 35.640353),Jangsu Grass Field,http://www.wikidata.org/entity/Q104109507,Jangsu Grass Field
http://www.wikidata.org/entity/Q104186784,Point(127.283577 35.607221),Imsil Stadium,http://www.wikidata.org/entity/Q104186784,Imsil Stadium
http://www.wikidata.org/entity/Q104186784,Point(127.283577 35.607221),Imsil Stadium,http://www.wikidata.org/entity/Q104186902,Imsil Sports Park
http://www.wikidata.org/entity/Q105082407,Point(33.747777777 21.869166666),Kingdom of Africa,http://www.wikidata.org/entity/Q105082407,Kingdom of Africa
http://www.wikidata.org/entity/Q105493691,Point(125.605368 -8.262112),Q105493691,http://www.wikidata.org/entity/Q105493691,Q105493691
http://www.wikidata.org/entity/Q258,Point(24.0 -29.0),África do Sul,http://www.wikidata.org/entity/Q3926,Pretória
http://www.wikidata.org/entity/Q258,Point(24.0 -29.0),África do Sul,http://www.wikidata.org/entity/Q5465,Cidade do Cabo
http://www.wikidata.org/entity/Q258,Point(24.0 -29.0),África do Sul,http://www.wikidata.org/entity/Q37701,Bloemfontein
http://www.wikidata.org/entity/Q262,Point(1.0 28.0),Argélia,http://www.wikidata.org/entity/Q3561,Argel
http://www.wikidata.org/entity/Q265,Point(66.0 41.0),Uzbequistão,http://www.wikidata.org/entity/Q269,Tasquente
http://www.wikidata.org/entity/Q298,Point(-71.0 -33.0),Chile,http://www.wikidata.org/entity/Q2887,Santiago
http://www.wikidata.org/entity/Q334,Point(103.8 1.3),Singapura,http://www.wikidata.org/entity/Q334,Singapura
http://www.wikidata.org/entity/Q347,Point(9.553889 47.145),Liechtenstein,http://www.wikidata.org/entity/Q1844,Vaduz
http://www.wikidata.org/entity/Q398,Point(50.551111 26.0675),Bahrein,http://www.wikidata.org/entity/Q3882,Manama
http://www.wikidata.org/entity/Q408,Point(137.0 -28.0),Austrália,http://www.wikidata.org/entity/Q3114,Camberra
http://www.wikidata.org/entity/Q414,Point(-64.0 -34.0),Argentina,http://www.wikidata.org/entity/Q1486,Buenos Aires
http://www.wikidata.org/entity/Q419,Point(-76.0 -9.4),Peru,http://www.wikidata.org/entity/Q2868,Lima
http://www.wikidata.org/entity/Q423,Point(127.0 40.0),Coreia do Norte,http://www.wikidata.org/entity/Q18808,Pyongyang
http://www.wikidata.org/entity/Q424,Point(105.0 12.6),Camboja,http://www.wikidata.org/entity/Q1850,Phnom Penh
http://www.wikidata.org/entity/Q574,Point(125.75 -8.966667),Timor-Leste,http://www.wikidata.org/entity/Q9310,Díli
http://www.wikidata.org/entity/Q657,Point(19.4 15.466667),Chade,http://www.wikidata.org/entity/Q3659,N'Djamena
http://www.wikidata.org/entity/Q664,Point(174.0 -41.2),Nova Zelândia,http://www.wikidata.org/entity/Q23661,Wellington
http://www.wikidata.org/entity/Q668,Point(83.0 22.8),Índia,http://www.wikidata.org/entity/Q987,Nova Deli
http://www.wikidata.org/entity/Q672,Point(178.005556 -7.475),Tuvalu,http://www.wikidata.org/entity/Q34126,Funafuti
http://www.wikidata.org/entity/Q683,Point(-172.0 -14.0),Samoa,http://www.wikidata.org/entity/Q36260,Apia
http://www.wikidata.org/entity/Q686,Point(168.016669444 -16.633330555),Vanuatu,http://www.wikidata.org/entity/Q37806,Port Vila
http://www.wikidata.org/entity/Q685,Point(159.816666666 -9.466666666),Ilhas Salomão,http://www.wikidata.org/entity/Q40921,Honiara
http://www.wikidata.org/entity/Q691,Point(147.0 -6.3),Papua-Nova Guiné,http://www.wikidata.org/entity/Q36526,Port Moresby
http://www.wikidata.org/entity/Q695,Point(134.55 7.466667),Palau,http://www.wikidata.org/entity/Q515229,Ngerulmud
http://www.wikidata.org/entity/Q697,Point(166.933333333 -0.533333333),Nauru,http://www.wikidata.org/entity/Q31026,Yaren
http://www.wikidata.org/entity/Q702,Point(158.183333333 6.916666666),Micronésia,http://www.wikidata.org/entity/Q42751,Palikir
http://www.wikidata.org/entity/Q710,Point(173.033333333 1.466666666),Kiribati,http://www.wikidata.org/entity/Q131233,Tarawa do Sul
http://www.wikidata.org/entity/Q711,Point(104.0 47.0),Mongólia,http://www.wikidata.org/entity/Q23430,Ulan Bator
http://www.wikidata.org/entity/Q709,Point(171.066666666 7.116666666),Ilhas Marshall,http://www.wikidata.org/entity/Q12919,Majuro
http://www.wikidata.org/entity/Q712,Point(178.0 -18.0),Fiji,http://www.wikidata.org/entity/Q38807,Suva
http://www.wikidata.org/entity/Q717,Point(-67.0 8.0),Venezuela,http://www.wikidata.org/entity/Q1533,Caracas
http://www.wikidata.org/entity/Q734,Point(-59.316667 5.733333),Guiana,http://www.wikidata.org/entity/Q10717,Georgetown
http://www.wikidata.org/entity/Q733,Point(-58.0 -23.5),Paraguai,http://www.wikidata.org/entity/Q2933,Assunção
http://www.wikidata.org/entity/Q739,Point(-74.0 4.0),Colômbia,http://www.wikidata.org/entity/Q2841,Bogotá
http://www.wikidata.org/entity/Q736,Point(-78.0 -1.0),Equador,http://www.wikidata.org/entity/Q2900,Quito
http://www.wikidata.org/entity/Q750,Point(-64.991228611 -17.056869611),Bolívia,http://www.wikidata.org/entity/Q1491,La Paz
http://www.wikidata.org/entity/Q750,Point(-64.991228611 -17.056869611),Bolívia,http://www.wikidata.org/entity/Q2907,Sucre
http://www.wikidata.org/entity/Q754,Point(-61.516666666 10.666666666),Trinidad e Tobago,http://www.wikidata.org/entity/Q39178,Port of Spain
http://www.wikidata.org/entity/Q757,Point(-61.233333333 13.166666666),São Vicente e Granadinas,http://www.wikidata.org/entity/Q41474,Kingstown
http://www.wikidata.org/entity/Q763,Point(-62.666667 17.33),São Cristóvão e Nevis,http://www.wikidata.org/entity/Q41295,Basseterre
http://www.wikidata.org/entity/Q760,Point(-61.0 13.883333),Santa Lúcia,http://www.wikidata.org/entity/Q41699,Castries
http://www.wikidata.org/entity/Q766,Point(-77.4 18.18),Jamaica,http://www.wikidata.org/entity/Q34692,Kingston
http://www.wikidata.org/entity/Q769,Point(-61.666667 12.116667),Granada,http://www.wikidata.org/entity/Q41547,Saint George's
http://www.wikidata.org/entity/Q774,Point(-90.25 15.5),Guatemala,http://www.wikidata.org/entity/Q1555,Cidade da Guatemala
http://www.wikidata.org/entity/Q778,Point(-76.4 23.7),Bahamas,http://www.wikidata.org/entity/Q2467,Nassau
http://www.wikidata.org/entity/Q783,Point(-86.816667 14.633333),Honduras,http://www.wikidata.org/entity/Q3238,Tegucigalpa
http://www.wikidata.org/entity/Q781,Point(-61.85 17.116666666),Antígua e Barbuda,http://www.wikidata.org/entity/Q36262,Saint John's
http://www.wikidata.org/entity/Q786,Point(-70.2 18.8),República Dominicana,http://www.wikidata.org/entity/Q34820,Santo Domingo
http://www.wikidata.org/entity/Q784,Point(-61.333333 15.416667),Dominica,http://www.wikidata.org/entity/Q36281,Roseau
http://www.wikidata.org/entity/Q790,Point(-72.8 19.0),Haiti,http://www.wikidata.org/entity/Q34261,Porto Príncipe
http://www.wikidata.org/entity/Q794,Point(53.0 32.0),Irão,http://www.wikidata.org/entity/Q3616,Teerão
http://www.wikidata.org/entity/Q792,Point(-88.866111 13.668889),El Salvador,http://www.wikidata.org/entity/Q3110,San Salvador
http://www.wikidata.org/entity/Q796,Point(43.0 33.0),Iraque,http://www.wikidata.org/entity/Q1530,Bagdade
http://www.wikidata.org/entity/Q800,Point(-84.0 10.0),Costa Rica,http://www.wikidata.org/entity/Q3070,San José
http://www.wikidata.org/entity/Q801,Point(35.0 31.0),Israel,http://www.wikidata.org/entity/Q1218,Jerusalém
http://www.wikidata.org/entity/Q805,Point(48.0 15.5),Iémen,http://www.wikidata.org/entity/Q131694,Áden
http://www.wikidata.org/entity/Q805,Point(48.0 15.5),Iémen,http://www.wikidata.org/entity/Q2471,Sana
http://www.wikidata.org/entity/Q810,Point(36.5 31.2),Jordânia,http://www.wikidata.org/entity/Q3805,Amã
http://www.wikidata.org/entity/Q811,Point(-85.0 13.0),Nicarágua,http://www.wikidata.org/entity/Q3274,Manágua
http://www.wikidata.org/entity/Q813,Point(75.0 41.0),Quirguistão,http://www.wikidata.org/entity/Q9361,Bisqueque
http://www.wikidata.org/entity/Q819,Point(104.0 18.2),Laos,http://www.wikidata.org/entity/Q9326,Vienciana
http://www.wikidata.org/entity/Q822,Point(35.766667 33.833333),Líbano,http://www.wikidata.org/entity/Q3820,Beirute
http://www.wikidata.org/entity/Q826,Point(73.51 4.18),Maldivas,http://www.wikidata.org/entity/Q9347,Malé
http://www.wikidata.org/entity/Q833,Point(108.0 3.0),Malásia,http://www.wikidata.org/entity/Q1865,Kuala Lumpur
http://www.wikidata.org/entity/Q836,Point(96.0 22.0),Myanmar,http://www.wikidata.org/entity/Q37400,Naypyidaw
http://www.wikidata.org/entity/Q837,Point(84.0 28.0),Nepal,http://www.wikidata.org/entity/Q3037,Catmandu
http://www.wikidata.org/entity/Q842,Point(57.0 21.0),Omã,http://www.wikidata.org/entity/Q3826,Mascate
http://www.wikidata.org/entity/Q843,Point(71.0 30.0),Paquistão,http://www.wikidata.org/entity/Q1362,Islamabad
http://www.wikidata.org/entity/Q846,Point(51.212767 25.269535),Catar,http://www.wikidata.org/entity/Q3861,Doha
http://www.wikidata.org/entity/Q851,Point(44.116667 23.716667),Arábia Saudita,http://www.wikidata.org/entity/Q3692,Riade
http://www.wikidata.org/entity/Q854,Point(81.0 7.0),Sri Lanka,http://www.wikidata.org/entity/Q35381,Colombo
http://www.wikidata.org/entity/Q854,Point(81.0 7.0),Sri Lanka,http://www.wikidata.org/entity/Q41963,Kotte
http://www.wikidata.org/entity/Q858,Point(38.583333 35.216667),Síria,http://www.wikidata.org/entity/Q3766,Damasco
http://www.wikidata.org/entity/Q863,Point(71.366667 38.583333),Tajiquistão,http://www.wikidata.org/entity/Q9365,Duchambe
http://www.wikidata.org/entity/Q865,Point(121.0 24.0),Taiwan,http://www.wikidata.org/entity/Q1867,Taipé
http://www.wikidata.org/entity/Q869,Point(101.0 14.0),Tailândia,http://www.wikidata.org/entity/Q1861,Banguecoque
http://www.wikidata.org/entity/Q874,Point(60.0 39.0),Turquemenistão,http://www.wikidata.org/entity/Q23438,Asgabate
http://www.wikidata.org/entity/Q878,Point(54.3 24.4),Emirados Árabes Unidos,http://www.wikidata.org/entity/Q1519,Abu Dhabi
http://www.wikidata.org/entity/Q881,Point(108.0 16.0),Vietname,http://www.wikidata.org/entity/Q1858,Hanói
http://www.wikidata.org/entity/Q884,Point(128.0 36.0),Coreia do Sul,http://www.wikidata.org/entity/Q8684,Seul
http://www.wikidata.org/entity/Q889,Point(66.0 34.0),Afeganistão,http://www.wikidata.org/entity/Q5838,Cabul
http://www.wikidata.org/entity/Q902,Point(89.866667 24.016667),Bangladesh,http://www.wikidata.org/entity/Q1354,Daca
http://www.wikidata.org/entity/Q912,Point(-4.0 17.0),Mali,http://www.wikidata.org/entity/Q3703,Bamako
http://www.wikidata.org/entity/Q916,Point(17.35 -12.35),Angola,http://www.wikidata.org/entity/Q3897,Luanda
http://www.wikidata.org/entity/Q917,Point(90.5 27.45),Butão,http://www.wikidata.org/entity/Q9270,Thimbu
http://www.wikidata.org/entity/Q921,Point(114.566667 4.4),Brunei,http://www.wikidata.org/entity/Q9279,Bandar Seri Begawan
http://www.wikidata.org/entity/Q924,Point(34.854 -6.307),Tanzânia,http://www.wikidata.org/entity/Q3866,Dodoma
http://www.wikidata.org/entity/Q928,Point(123.0 12.0),Filipinas,http://www.wikidata.org/entity/Q1461,Manila
http://www.wikidata.org/entity/Q929,Point(20.9 6.7),República Centro-Africana,http://www.wikidata.org/entity/Q3832,Bangui
http://www.wikidata.org/entity/Q945,Point(1.183333 8.25),Togo,http://www.wikidata.org/entity/Q3792,Lomé
http://www.wikidata.org/entity/Q948,Point(10.0 34.0),Tunísia,http://www.wikidata.org/entity/Q3572,Tunes
http://www.wikidata.org/entity/Q954,Point(30.0 -19.0),Zimbábue,http://www.wikidata.org/entity/Q3921,Harare
http://www.wikidata.org/entity/Q953,Point(28.0 -14.0),Zâmbia,http://www.wikidata.org/entity/Q3881,Lusaca
http://www.wikidata.org/entity/Q958,Point(30.0 7.0),Sudão do Sul,http://www.wikidata.org/entity/Q1947,Juba
http://www.wikidata.org/entity/Q962,Point(2.183333333 8.833333333),Benim,http://www.wikidata.org/entity/Q3799,Porto-Novo
http://www.wikidata.org/entity/Q963,Point(23.7 -22.2),Botsuana,http://www.wikidata.org/entity/Q3919,Gaborone
http://www.wikidata.org/entity/Q967,Point(29.816667 -3.666667),Burundi,http://www.wikidata.org/entity/Q167551,Gitega
http://www.wikidata.org/entity/Q965,Point(-2.066667 12.266667),Burkina Faso,http://www.wikidata.org/entity/Q3777,Ouagadougou
http://www.wikidata.org/entity/Q970,Point(44.44553 -12.23333),Comores,http://www.wikidata.org/entity/Q3901,Moroni
http://www.wikidata.org/entity/Q971,Point(15.383330555 -0.75),República do Congo,http://www.wikidata.org/entity/Q3844,Brazavile
http://www.wikidata.org/entity/Q974,Point(23.656 -2.88),República Democrática do Congo,http://www.wikidata.org/entity/Q3838,Kinshasa
http://www.wikidata.org/entity/Q977,Point(42.433333 11.8),Djibouti,http://www.wikidata.org/entity/Q3604,Djibouti
http://www.wikidata.org/entity/Q986,Point(38.25 15.483333),Eritreia,http://www.wikidata.org/entity/Q3642,Asmara
http://www.wikidata.org/entity/Q1006,Point(-11.0 10.0),Guiné,http://www.wikidata.org/entity/Q3733,Conacri
http://www.wikidata.org/entity/Q1007,Point(-15.0 12.0),Guiné-Bissau,http://www.wikidata.org/entity/Q3739,Bissau
http://www.wikidata.org/entity/Q1005,Point(-15.5 13.5),Gâmbia,http://www.wikidata.org/entity/Q3726,Banjul
http://www.wikidata.org/entity/Q1011,Point(-24.083333333 15.916666666),Cabo Verde,http://www.wikidata.org/entity/Q3751,Praia
http://www.wikidata.org/entity/Q1008,Point(-6.0 8.0),Costa do Marfim,http://www.wikidata.org/entity/Q3768,Yamoussoukro
http://www.wikidata.org/entity/Q1009,Point(12.0 7.0),Camarões,http://www.wikidata.org/entity/Q3808,Yaoundé
http://www.wikidata.org/entity/Q1014,Point(-9.75 6.533333),Libéria,http://www.wikidata.org/entity/Q3748,Monróvia
http://www.wikidata.org/entity/Q1013,Point(28.25 -29.55),Lesoto,http://www.wikidata.org/entity/Q3909,Maseru
http://www.wikidata.org/entity/Q1019,Point(47.0 -20.0),Madagáscar,http://www.wikidata.org/entity/Q3915,Antananarivo
http://www.wikidata.org/entity/Q1016,Point(17.0 27.0),Líbia,http://www.wikidata.org/entity/Q3579,Trípoli
http://www.wikidata.org/entity/Q1020,Point(34.0 -13.0),Malawi,http://www.wikidata.org/entity/Q3876,Lilongwe
http://www.wikidata.org/entity/Q1027,Point(57.5 -20.2),Maurícia,http://www.wikidata.org/entity/Q3929,Port Louis
http://www.wikidata.org/entity/Q1025,Point(-11.0 21.0),Mauritânia,http://www.wikidata.org/entity/Q3688,Nouakchott
http://www.wikidata.org/entity/Q1030,Point(17.0 -23.0),Namíbia,http://www.wikidata.org/entity/Q3935,Windhoek
http://www.wikidata.org/entity/Q1028,Point(-6.0 32.0),Marrocos,http://www.wikidata.org/entity/Q3551,Rabat
http://www.wikidata.org/entity/Q1029,Point(35.0 -19.0),Moçambique,http://www.wikidata.org/entity/Q3889,Maputo
http://www.wikidata.org/entity/Q1032,Point(10.0 17.0),Níger,http://www.wikidata.org/entity/Q3674,Niamey
http://www.wikidata.org/entity/Q1033,Point(8.0 9.0),Nigéria,http://www.wikidata.org/entity/Q3787,Abuja
http://www.wikidata.org/entity/Q1039,Point(6.6 0.316667),São Tomé e Príncipe,http://www.wikidata.org/entity/Q3932,São Tomé
http://www.wikidata.org/entity/Q1036,Point(32.39 1.28),Uganda,http://www.wikidata.org/entity/Q3894,Kampala
http://www.wikidata.org/entity/Q1037,Point(29.873888888 -1.940277777),Ruanda,http://www.wikidata.org/entity/Q3859,Kigali
http://www.wikidata.org/entity/Q1042,Point(52.766667 -7.1),Seychelles,http://www.wikidata.org/entity/Q3940,Victoria
http://www.wikidata.org/entity/Q1041,Point(-14.283333 14.366667),Senegal,http://www.wikidata.org/entity/Q3718,Dakar
http://www.wikidata.org/entity/Q1044,Point(-12.1 8.5),Serra Leoa,http://www.wikidata.org/entity/Q3780,Freetown
http://www.wikidata.org/entity/Q1045,Point(47.0 6.0),Somália,http://www.wikidata.org/entity/Q2449,Mogadíscio
http://www.wikidata.org/entity/Q1049,Point(32.0 15.0),Sudão,http://www.wikidata.org/entity/Q1963,Cartum
http://www.wikidata.org/entity/Q16641,Point(-170.7075 -14.295833),Samoa Americana,http://www.wikidata.org/entity/Q51678,Pago Pago
http://www.wikidata.org/entity/Q16644,Point(145.78 16.705),Ilhas Marianas do Norte,http://www.wikidata.org/entity/Q51679,Saipan
http://www.wikidata.org/entity/Q21203,Point(-69.97422388 12.51106253),Aruba,http://www.wikidata.org/entity/Q131243,Oranjestad
http://www.wikidata.org/entity/Q26273,Point(-63.067777777 18.031944444),São Martinho,http://www.wikidata.org/entity/Q30958,Philipsburg
http://www.wikidata.org/entity/Q26988,Point(-159.783333333 -21.233333333),Ilhas Cook,http://www.wikidata.org/entity/Q170482,Avarua
http://www.wikidata.org/entity/Q29999,Point(4.883333333 52.366666666),Reino dos Países Baixos,http://www.wikidata.org/entity/Q727,Amesterdão
http://www.wikidata.org/entity/Q16,Point(-109.0 56.0),Canadá,http://www.wikidata.org/entity/Q1930,Ottawa
http://www.wikidata.org/entity/Q17,Point(136.0 35.0),Japão,http://www.wikidata.org/entity/Q1490,Tóquio
http://www.wikidata.org/entity/Q20,Point(11.0 65.0),Noruega,http://www.wikidata.org/entity/Q585,Oslo
http://www.wikidata.org/entity/Q27,Point(-8.0 53.0),República da Irlanda,http://www.wikidata.org/entity/Q1761,Dublin
http://www.wikidata.org/entity/Q25,Point(-3.633333333 52.35),País de Gales,http://www.wikidata.org/entity/Q10690,Cardiff
http://www.wikidata.org/entity/Q30,Point(-98.5795 39.828175),Estados Unidos,http://www.wikidata.org/entity/Q61,Washington
http://www.wikidata.org/entity/Q28,Point(19.0 47.0),Hungria,http://www.wikidata.org/entity/Q1781,Budapeste
http://www.wikidata.org/entity/Q34,Point(15.0 61.0),Suécia,http://www.wikidata.org/entity/Q1754,Estocolmo
http://www.wikidata.org/entity/Q35,Point(10.0 56.0),Dinamarca,http://www.wikidata.org/entity/Q1748,Copenhaga
http://www.wikidata.org/entity/Q33,Point(27.0 65.0),Finlândia,http://www.wikidata.org/entity/Q1757,Helsínquia
http://www.wikidata.org/entity/Q38,Point(12.5 42.5),Itália,http://www.wikidata.org/entity/Q220,Roma
http://www.wikidata.org/entity/Q39,Point(8.231973 46.798562),Suíça,http://www.wikidata.org/entity/Q70,Berna
http://www.wikidata.org/entity/Q36,Point(19.0 52.0),Polónia,http://www.wikidata.org/entity/Q270,Varsóvia
http://www.wikidata.org/entity/Q43,Point(36.0 39.0),Turquia,http://www.wikidata.org/entity/Q3640,Ancara
http://www.wikidata.org/entity/Q40,Point(14.0 48.0),Áustria,http://www.wikidata.org/entity/Q1741,Viena
http://www.wikidata.org/entity/Q41,Point(23.0 38.5),Grécia,http://www.wikidata.org/entity/Q1524,Atenas
http://www.wikidata.org/entity/Q45,Point(-9.183333333 38.7),Portugal,http://www.wikidata.org/entity/Q597,Lisboa
http://www.wikidata.org/entity/Q55,Point(5.55 52.316666666),Países Baixos,http://www.wikidata.org/entity/Q727,Amesterdão
http://www.wikidata.org/entity/Q79,Point(29.0 27.0),Egito,http://www.wikidata.org/entity/Q85,Cairo
http://www.wikidata.org/entity/Q77,Point(-56.65 -32.733333333),Uruguai,http://www.wikidata.org/entity/Q1335,Montevidéu
http://www.wikidata.org/entity/Q96,Point(-102.0 23.0),México,http://www.wikidata.org/entity/Q1489,Cidade do México
http://www.wikidata.org/entity/Q114,Point(38.0 0.1),Quénia,http://www.wikidata.org/entity/Q3870,Nairóbi
http://www.wikidata.org/entity/Q115,Point(40.0 9.0),Etiópia,http://www.wikidata.org/entity/Q3624,Adis Abeba
http://www.wikidata.org/entity/Q117,Point(-0.5 8.0),Gana,http://www.wikidata.org/entity/Q3761,Acra
http://www.wikidata.org/entity/Q142,Point(2.0 47.0),França,http://www.wikidata.org/entity/Q90,Paris
http://www.wikidata.org/entity/Q145,Point(-2.0 54.6),Reino Unido,http://www.wikidata.org/entity/Q84,Londres
http://www.wikidata.org/entity/Q148,Point(103.451944444 35.844722222),China,http://www.wikidata.org/entity/Q956,Pequim
http://www.wikidata.org/entity/Q155,Point(-53.0 -14.0),Brasil,http://www.wikidata.org/entity/Q2844,Brasília
http://www.wikidata.org/entity/Q183,Point(10.0 51.0),Alemanha,http://www.wikidata.org/entity/Q64,Berlim
http://www.wikidata.org/entity/Q211,Point(25.0 57.0),Letónia,http://www.wikidata.org/entity/Q1773,Riga
http://www.wikidata.org/entity/Q214,Point(20.0 49.0),Eslováquia,http://www.wikidata.org/entity/Q1780,Bratislava
http://www.wikidata.org/entity/Q213,Point(16.0 50.0),Chéquia,http://www.wikidata.org/entity/Q1085,Praga
http://www.wikidata.org/entity/Q218,Point(25.0 46.0),Roménia,http://www.wikidata.org/entity/Q19660,Bucareste
http://www.wikidata.org/entity/Q219,Point(25.5 42.75),Bulgária,http://www.wikidata.org/entity/Q472,Sófia
http://www.wikidata.org/entity/Q222,Point(20.0 41.0),Albânia,http://www.wikidata.org/entity/Q19689,Tirana
http://www.wikidata.org/entity/Q224,Point(15.466667 45.25),Croácia,http://www.wikidata.org/entity/Q1435,Zagreb
http://www.wikidata.org/entity/Q228,Point(1.555277777 42.558333333),Andorra,http://www.wikidata.org/entity/Q1863,Andorra-a-Velha
http://www.wikidata.org/entity/Q229,Point(33.0 35.0),Chipre,http://www.wikidata.org/entity/Q3856,Nicósia
http://www.wikidata.org/entity/Q232,Point(68.0 48.0),Cazaquistão,http://www.wikidata.org/entity/Q1520,Nur-Sultan
http://www.wikidata.org/entity/Q233,Point(14.5 35.883333333),Malta,http://www.wikidata.org/entity/Q23800,Valeta
http://www.wikidata.org/entity/Q236,Point(19.216667 42.766667),Montenegro,http://www.wikidata.org/entity/Q23564,Podgorica
http://www.wikidata.org/entity/Q241,Point(-79.5 22.0),Cuba,http://www.wikidata.org/entity/Q1563,Havana
http://www.wikidata.org/entity/Q244,Point(-59.5525 13.17),Barbados,http://www.wikidata.org/entity/Q36168,Bridgetown
http://www.wikidata.org/entity/Q252,Point(118.0 -2.0),Indonésia,http://www.wikidata.org/entity/Q3630,Jacarta
http://www.wikidata.org/entity/Q34020,Point(-169.916666666 -19.05),Niue,http://www.wikidata.org/entity/Q30966,Alofi
http://www.wikidata.org/entity/Q34754,Point(46.2 9.8),Somalilândia,http://www.wikidata.org/entity/Q168652,Hargeisa
